ATA_System	Compon_Code	Last_Change_Date	Compon_Name	Seg_Code	Seg_Suff	Severity_Factor
3800	    	06/28/1991	WATER AND WASTE SYSTEM        	1	1	1
3810	    	06/28/1991	POTABLE WATER SYSTEM          	1	1	1
3820	    	06/28/1991	WASH WATER SYSTEM             	1	1	1
3830	    	06/28/1991	WASTE DISPOSAL SYSTEM         	1	1	1
3840	    	06/28/1991	AIR SUPPLY (WATER PRESS SYS)  	1	1	1
3897	    	04/19/2001	WATER/WASTE SYS WIRING        	1	1	1
4500	    	06/28/1991	CENTRAL MAINTENANCE COMPUTER  	4	5	1
4597	    	04/19/2001	CENT MAINT CMP WIRING         	4	1	1
4900	    	06/28/1991	AIRBORNE APU SYSTEM           	1	1	1
4910	    	06/28/1991	APU ASSEMBLY AND COWL         	1	1	1
4920	    	06/28/1991	APU CORE ENGINE               	1	5	1
4930	    	06/28/1991	APU ENGINE FUEL AND CONTROL   	1	1	1
4940	    	06/28/1991	APU START/IGNITION SYSTEM     	1	5	1
4950	    	06/28/1991	APU BLEED AIR SYSTEM          	1	1	1
4960	    	06/28/1991	APU CONTROLS                  	1	1	1
4970	    	06/28/1991	APU INDICATING SYSTEM         	1	1	1
4980	    	06/28/1991	APU EXHAUST SYSTEM            	1	1	1
4990	    	06/28/1991	APU OIL SYSTEM                	1	5	1
4997	    	04/19/2001	APU SYS WIRING                	1	1	1
5100	    	06/28/1991	STANDARD PRACTICES/STRUCTURES 	1	1	1
5101	    	06/28/1991	AIRCRAFT STRUCTURES           	1	1	1
5102	    	06/28/1991	BALLOON/DIRIGIBLE REPORTS     	1	1	2
5200	    	06/28/1991	DOORS                         	1	1	1
5210	    	06/28/1991	PASSENGER/CREW DOORS          	1	1	1
5220	    	06/28/1991	EMERGENCY EXIT                	1	1	1
5230	    	06/28/1991	CARGO/BAGGAGE DOORS           	1	1	1
5240	    	06/28/1991	SERVICE DOORS                 	1	1	1
5241	    	06/28/1991	GALLEY DOORS                  	1	1	1
5242	    	06/28/1991	ELECT/ELECTRONIC COMP DOORS   	1	1	1
5243	    	06/28/1991	HYDRAULIC COMPARTMENT DOORS   	1	1	1
5244	    	06/28/1991	ACCESSORY COMPARTMENT DOORS   	1	1	1
5245	    	06/28/1991	AIR CONDITIONING COMP DOORS   	1	1	1
5246	    	06/28/1991	FLUID SERVICE DOORS           	1	1	1
5247	    	06/28/1991	AUXILIARY POWER UNIT DOOR     	1	1	1
5248	    	06/28/1991	TAIL CONE DOOR                	1	1	1
5250	    	06/28/1991	FIXED INNER DOORS             	1	1	1
5260	    	06/28/1991	ENTRANCE STAIRS               	1	1	1
5270	    	06/28/1991	DOOR WARNING                  	1	1	1
5280	    	06/28/1991	LANDING GEAR DOORS            	1	1	1
5297	    	04/19/2001	DOOR WIRING                   	1	1	1
5300	    	06/28/1991	FUSELAGE                      	1	1	2
5301	    	06/28/1991	AERIAL TOW EQUIPMENT SECTION  	4	5	1
5302	    	06/28/1991	ROTORCRAFT TAIL BOOM          	1	1	2
5310	    	06/28/1991	FUSELAGE MAIN STRUCTURE       	1	1	2
5311	    	06/28/1991	FRAMES (MAIN FUSELAGE)        	1	1	2
5312	    	06/28/1991	BULKHEADS (MAIN FUSELAGE)     	1	1	2
5313	    	06/28/1991	LONGERONS/STRINGERS (MAIN FUS)	1	1	2
5314	    	06/28/1991	KEELS (MAIN FUSELAGE)         	1	1	2
5315	    	06/28/1991	FLOOR BEAMS (MAIN FUSELAGE)   	1	1	2
5320	    	04/30/2001	FUSELAGE AUXILIARY STRUCTURE  	1	1	2
5321	    	06/28/1991	FLOOR PANELS (AUX FUSELAGE)   	1	1	2
5322	    	06/28/1991	INTERNAL MOUNT STRUC (AUX FUS)	1	1	2
5323	    	06/28/1991	INTERNAL STAIRS (AUX FUS)     	1	1	2
5324	    	06/28/1991	FIXED PARTITIONS (AUX FUS)    	1	1	2
5330	    	06/28/1991	PLATES/SKINS (AUX FUSELAGE)   	1	1	2
5340	    	06/28/1991	FUSELAGE ATTACH FITTINGS SYS  	1	1	2
5341	    	06/28/1991	WING ATTACH FITTINGS (ON FUS) 	1	1	2
5342	    	06/28/1991	STAB ATTACH FITTINGS (ON FUS) 	1	1	2
5343	    	06/28/1991	GEAR ATTACH FITTINGS (ON FUS) 	1	1	2
5344	    	06/28/1991	DOOR HINGE (ON FUSELAGE)      	1	1	2
5345	    	06/28/1991	EQUIP ATTACH FITTINGS (ON FUS)	1	1	2
5346	    	06/28/1991	ENGINE ATTACH FITTING (ON FUS)	1	1	2
5347	    	06/28/1991	SEAT/CARGO ATTACH FITTING     	1	1	2
5350	    	06/28/1991	AERODYNAMIC FAIRINGS STRUCTURE	1	1	1
5397	    	04/19/2001	FUSELAGE WIRING               	1	1	2
5400	    	06/28/1991	NACELLES/PYLONS STRUCTURE     	1	1	1
5410	    	06/28/1991	MAIN FRAME (ON NACELLES/PYLON)	1	1	1
5411	    	06/28/1991	FRAMES (ON NACELLES/PYLON)    	1	1	1
5412	    	06/28/1991	BULKHEAD/FIREWALLS (NAC/PYLON)	1	1	1
5413	    	06/28/1991	LONGERON/STRINGERS (NAC/PYLON)	1	1	1
5414	    	06/28/1991	PLATES/SKINS (NACELLE/PYLON)  	1	1	1
5415	    	06/28/1991	ATTACH FITTINGS (NAC/PYLON)   	1	1	1
5420	    	03/20/2002	NACELLE/PYLON MISC STRU       	1	1	1
5497	    	04/19/2001	NACELL/PYLON WIRING           	1	1	1
5500	    	06/28/1991	EMPENNAGE STRUCTURE           	1	1	2
5510	    	06/28/1991	HORIZONTAL STABILIZER         	1	1	2
5511	    	06/28/1991	SPARS/RIBS (HORIZONTAL STAB)  	1	1	2
5512	    	06/28/1991	PLATES/SKINS (HORIZONTAL STAB)	1	1	2
5513	    	06/28/1991	TAB STRUC (HORIZONTAL STAB)   	1	1	2
5514	    	03/20/2002	HORIZ STAB MISC STRU          	1	1	2
5520	    	06/28/1991	ELEVATORS                     	1	1	2
5521	    	06/28/1991	SPARS/RIBS (ON ELEVATOR)      	1	1	2
5522	    	06/28/1991	PLATES/SKINS (ON ELEVATOR)    	1	1	2
5523	    	06/28/1991	TAB STRUCTURE (ON ELEVATOR)   	1	1	2
5524	    	03/20/2002	ELEVATOR MISC STRU            	1	1	2
5530	    	06/28/1991	VERTICAL STABILIZER           	1	1	2
5531	    	06/28/1991	SPARS/RIBS (ON VERT STAB)     	1	1	2
5532	    	06/28/1991	PLATES/SKINS (ON VERT STAB)   	1	1	2
5533	    	06/28/1991	VENTRAL STRUC (ON VERT STAB)  	1	1	1
5534	    	03/20/2002	VERTICAL STAB MISC STRU       	1	1	1
5540	    	06/28/1991	RUDDER                        	1	1	2
5541	    	06/28/1991	SPARS/RIBS (ON RUDDER)        	1	1	2
5542	    	06/28/1991	PLATES/SKINS (ON RUDDER)      	1	1	2
5543	    	06/28/1991	TAB STRUCTURE (ON RUDDER)     	1	1	2
5544	    	03/20/2002	RUDDER MISC STRU              	1	1	2
5550	    	06/28/1991	ATTACH FITTINGS (FLT CONTROLS)	1	1	2
5551	    	06/28/1991	HORIZONTAL STAB ATTACH FITTING	1	1	2
5552	    	06/28/1991	ELEVATOR/TAB ATTACH FITTING   	1	1	2
5553	    	06/28/1991	VERTICAL STAB ATTACH FITTING  	1	1	2
5554	    	06/28/1991	RUDDER/TAB ATTACH FITTING     	1	1	2
5597	    	04/19/2001	STABILIZER SYS WIRING         	1	1	2
5600	    	06/28/1991	WINDOWS-WINDSHIELD SYSTEM     	1	1	1
5610	    	06/28/1991	FLIGHT COMPARTMENT WINDOWS    	1	1	2
5620	    	06/28/1991	PASSENGER COMPARTMENT WINDOWS 	1	1	1
5630	    	06/28/1991	DOOR WINDOWS                  	1	1	1
5640	    	06/28/1991	INSPECTION WINDOWS            	1	1	1
5697	    	04/19/2001	WINDOW WIRING                 	1	1	1
5700	    	06/28/1991	WING STRUCTURE                	1	1	1
5710	    	06/28/1991	MAIN FRAME (ON WING)          	1	1	4
5711	    	06/28/1991	SPAR (ON WING)                	1	1	4
5712	    	06/28/1991	RIBS/BULKHEADS (ON WING)      	1	1	4
5713	    	06/28/1991	LONGERONS/STRINGERS (ON WING) 	1	1	4
5714	    	06/28/1991	CENTER WING BOX (ON WING)     	1	1	4
5720	    	04/30/2001	WING AUXILIARY STRUCTURE      	1	1	4
5730	    	06/28/1991	PLATES/SKINS (ON WING)        	1	1	4
5740	    	06/28/1991	ATTACH FITTINGS (ON WING)     	1	1	4
5741	    	06/28/1991	FUS (ATTACH FITTING ON WING)  	1	1	4
5742	    	06/28/1991	NAC/PYLON (FITTING ON WING)   	1	1	4
